Gene	Datasets	Intersected	Size	Assay	Type	Weight
PDGFRA	14_Human	1	8	In vitro	EVs	0.00598802395209581
VCL	18_Human	1	8	In vitro	EVs	0.00286532951289398
NCL	18_Human	1	8	In vitro	EVs	0.00286532951289398
COL5A1	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
HNRNPA2B1	18_Human	1	8	In vitro	EVs	0.00286532951289398
FBLN1	18_Human	1	8	In vitro	EVs	0.00286532951289398
PPIB	14_Human;18_Human	2	8	In vitro	EVs	0.00885335346498979
CFL1	18_Human	1	8	In vitro	EVs	0.00286532951289398
PTX3	12_Human;14_Human;15_Human;17_Human;18_Human	5	8	In vitro	EVs	0.071989604886587
STOM	12_Human	1	8	In vitro	EVs	0.0050761421319797
COL8A1	19_Human	1	8	In vitro	EVs	0.00613496932515337
CD82	12_Human	1	8	In vitro	EVs	0.0050761421319797
LOX	17_Human;18_Human	2	8	In vitro	EVs	0.0192587721358448
PRDX6	18_Human	1	8	In vitro	EVs	0.00286532951289398
PRDX3	18_Human	1	8	In vitro	EVs	0.00286532951289398
S100A11	18_Human	1	8	In vitro	EVs	0.00286532951289398
GPC1	12_Human	1	8	In vitro	EVs	0.0050761421319797
FBN1	15_Human;16_Human;17_Human;18_Human;19_Human	5	8	In vitro	EVs	0.0892826303498871
FBN2	19_Human	1	8	In vitro	EVs	0.00613496932515337
PGM1	19_Human	1	8	In vitro	EVs	0.00613496932515337
TGFBR2	12_Human	1	8	In vitro	EVs	0.0050761421319797
ETFB	14_Human	1	8	In vitro	EVs	0.00598802395209581
CXCL12	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
SERPINH1	18_Human	1	8	In vitro	EVs	0.00286532951289398
CDK9	12_Human	1	8	In vitro	EVs	0.0050761421319797
MECP2	12_Human	1	8	In vitro	EVs	0.0050761421319797
HMGA2	12_Human	1	8	In vitro	EVs	0.0050761421319797
SLC16A1	14_Human	1	8	In vitro	EVs	0.00598802395209581
SUB1	14_Human	1	8	In vitro	EVs	0.00598802395209581
HADHB	14_Human	1	8	In vitro	EVs	0.00598802395209581
S100A10	19_Human	1	8	In vitro	EVs	0.00613496932515337
B2M	12_Human;18_Human	2	8	In vitro	EVs	0.00794147164487368
RPS16	12_Human	1	8	In vitro	EVs	0.0050761421319797
EEF1A1	19_Human	1	8	In vitro	EVs	0.00613496932515337
TUBA4A	12_Human;17_Human;18_Human;19_Human	4	8	In vitro	EVs	0.0304698835929779
HBA2	12_Human	1	8	In vitro	EVs	0.0050761421319797
HBA1	12_Human	1	8	In vitro	EVs	0.0050761421319797
SRPX	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
NUCB2	18_Human	1	8	In vitro	EVs	0.00286532951289398
HSPG2	14_Human;16_Human;18_Human;19_Human	4	8	In vitro	EVs	0.0372105450123654
AMPD3	12_Human	1	8	In vitro	EVs	0.0050761421319797
AKAP12	18_Human	1	8	In vitro	EVs	0.00286532951289398
GBE1	18_Human	1	8	In vitro	EVs	0.00286532951289398
PSME1	18_Human	1	8	In vitro	EVs	0.00286532951289398
CKAP4	14_Human	1	8	In vitro	EVs	0.00598802395209581
MFGE8	16_Human;18_Human;19_Human	3	8	In vitro	EVs	0.0312225210602696
AHNAK	18_Human	1	8	In vitro	EVs	0.00286532951289398
MGAT2	12_Human	1	8	In vitro	EVs	0.0050761421319797
GALNT2	12_Human	1	8	In vitro	EVs	0.0050761421319797
SPP2	19_Human	1	8	In vitro	EVs	0.00613496932515337
SELENBP1	18_Human	1	8	In vitro	EVs	0.00286532951289398
ADAM9	14_Human;18_Human	2	8	In vitro	EVs	0.00885335346498979
FLNC	18_Human	1	8	In vitro	EVs	0.00286532951289398
GAS6	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
LTBP1	14_Human;17_Human;18_Human	3	8	In vitro	EVs	0.0252467960879406
LASP1	18_Human	1	8	In vitro	EVs	0.00286532951289398
PCOLCE	15_Human;16_Human;17_Human;19_Human	4	8	In vitro	EVs	0.0864173008369931
RCN1	18_Human	1	8	In vitro	EVs	0.00286532951289398
SLC1A5	14_Human	1	8	In vitro	EVs	0.00598802395209581
INA	18_Human	1	8	In vitro	EVs	0.00286532951289398
UGCG	12_Human	1	8	In vitro	EVs	0.0050761421319797
HNRNPK	18_Human	1	8	In vitro	EVs	0.00286532951289398
RPL7A	18_Human	1	8	In vitro	EVs	0.00286532951289398
GLT8D1	12_Human	1	8	In vitro	EVs	0.0050761421319797
MTHFD1L	14_Human	1	8	In vitro	EVs	0.00598802395209581
THSD4	14_Human	1	8	In vitro	EVs	0.00598802395209581
GALNT7	12_Human	1	8	In vitro	EVs	0.0050761421319797
CTHRC1	18_Human	1	8	In vitro	EVs	0.00286532951289398
AEBP1	12_Human;14_Human;18_Human	3	8	In vitro	EVs	0.0139294955969695
PLD3	12_Human;14_Human	2	8	In vitro	EVs	0.0110641660840755
NEK7	12_Human	1	8	In vitro	EVs	0.0050761421319797
SLC20A1	12_Human	1	8	In vitro	EVs	0.0050761421319797
FKBP10	18_Human	1	8	In vitro	EVs	0.00286532951289398
KCTD12	18_Human	1	8	In vitro	EVs	0.00286532951289398
S100A16	18_Human	1	8	In vitro	EVs	0.00286532951289398
SUCLG2	12_Human;14_Human	2	8	In vitro	EVs	0.0110641660840755
FMNL2	14_Human	1	8	In vitro	EVs	0.00598802395209581
S100A13	18_Human	1	8	In vitro	EVs	0.00286532951289398
HSD17B10	14_Human	1	8	In vitro	EVs	0.00598802395209581
MXRA8	12_Human;14_Human;18_Human	3	8	In vitro	EVs	0.0139294955969695
TMEM59	12_Human	1	8	In vitro	EVs	0.0050761421319797
CACYBP	14_Human	1	8	In vitro	EVs	0.00598802395209581
CD248	13_Human;18_Human	2	8	In vitro	EVs	0.065365329512894
PLSCR3	16_Human	1	8	In vitro	EVs	0.0222222222222222
TMEM30A	12_Human	1	8	In vitro	EVs	0.0050761421319797
GNG12	18_Human	1	8	In vitro	EVs	0.00286532951289398
ADAMTS1	15_Human	1	8	In vitro	EVs	0.0416666666666667
LNPEP	12_Human	1	8	In vitro	EVs	0.0050761421319797
MAN1B1	12_Human	1	8	In vitro	EVs	0.0050761421319797
PCDHGC3	14_Human	1	8	In vitro	EVs	0.00598802395209581
EMILIN1	12_Human;13_Human;15_Human;18_Human;19_Human	5	8	In vitro	EVs	0.118243107636694
TAGLN2	18_Human	1	8	In vitro	EVs	0.00286532951289398
ACTA2	16_Human	1	8	In vitro	EVs	0.0222222222222222
ACTG2	16_Human	1	8	In vitro	EVs	0.0222222222222222
MYL6	18_Human	1	8	In vitro	EVs	0.00286532951289398
ALDH1L2	14_Human	1	8	In vitro	EVs	0.00598802395209581
CALD1	18_Human	1	8	In vitro	EVs	0.00286532951289398
FTL	12_Human;19_Human	2	8	In vitro	EVs	0.0112111114571331
FTH1	19_Human	1	8	In vitro	EVs	0.00613496932515337
GAPDH	15_Human;16_Human;18_Human	3	8	In vitro	EVs	0.0667542184017829
RPLP0	18_Human	1	8	In vitro	EVs	0.00286532951289398
ATP5F1B	14_Human;18_Human	2	8	In vitro	EVs	0.00885335346498979
S100A6	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
PDHB	14_Human	1	8	In vitro	EVs	0.00598802395209581
PKM	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
HSP90B1	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
DSP	12_Human;18_Human	2	8	In vitro	EVs	0.00794147164487368
ACAT1	14_Human	1	8	In vitro	EVs	0.00598802395209581
ATP5F1A	14_Human;18_Human	2	8	In vitro	EVs	0.00885335346498979
TKT	18_Human	1	8	In vitro	EVs	0.00286532951289398
MYH10	19_Human	1	8	In vitro	EVs	0.00613496932515337
CAPG	14_Human	1	8	In vitro	EVs	0.00598802395209581
MDH2	18_Human	1	8	In vitro	EVs	0.00286532951289398
IQGAP1	18_Human	1	8	In vitro	EVs	0.00286532951289398
ATP5PO	14_Human	1	8	In vitro	EVs	0.00598802395209581
YWHAG	18_Human	1	8	In vitro	EVs	0.00286532951289398
TAGLN	18_Human	1	8	In vitro	EVs	0.00286532951289398
G3BP1	14_Human	1	8	In vitro	EVs	0.00598802395209581
DYNC1H1	19_Human	1	8	In vitro	EVs	0.00613496932515337
GANAB	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
TUBB2B	18_Human	1	8	In vitro	EVs	0.00286532951289398
SPTAN1	19_Human	1	8	In vitro	EVs	0.00613496932515337
CTSD	14_Human;18_Human;19_Human	3	8	In vitro	EVs	0.0149883227901432
THBS2	12_Human;15_Human;16_Human;18_Human	4	8	In vitro	EVs	0.0718303605337626
SERPINE2	15_Human;18_Human;19_Human	3	8	In vitro	EVs	0.050666965504714
CTSA	18_Human	1	8	In vitro	EVs	0.00286532951289398
HMGA1	12_Human	1	8	In vitro	EVs	0.0050761421319797
S100A4	14_Human	1	8	In vitro	EVs	0.00598802395209581
CCN2	15_Human;16_Human;18_Human;19_Human	4	8	In vitro	EVs	0.0728891877269362
SPTBN1	19_Human	1	8	In vitro	EVs	0.00613496932515337
FSTL1	18_Human	1	8	In vitro	EVs	0.00286532951289398
IGFBP7	15_Human;16_Human;17_Human;18_Human	4	8	In vitro	EVs	0.0831476610247337
CCDC80	14_Human;17_Human;18_Human	3	8	In vitro	EVs	0.0252467960879406
AHNAK2	14_Human	1	8	In vitro	EVs	0.00598802395209581
SULF1	14_Human	1	8	In vitro	EVs	0.00598802395209581
CD81	12_Human;14_Human;19_Human	3	8	In vitro	EVs	0.0171991354092289
ARPC4	18_Human	1	8	In vitro	EVs	0.00286532951289398
SRSF1	14_Human	1	8	In vitro	EVs	0.00598802395209581
ACTN4	18_Human	1	8	In vitro	EVs	0.00286532951289398
WDR1	18_Human	1	8	In vitro	EVs	0.00286532951289398
CYB5R3	14_Human	1	8	In vitro	EVs	0.00598802395209581
LMNA	18_Human	1	8	In vitro	EVs	0.00286532951289398
ANXA1	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
GNAI2	16_Human	1	8	In vitro	EVs	0.0222222222222222
EPHX1	14_Human	1	8	In vitro	EVs	0.00598802395209581
HSP90AA1	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
ANXA5	16_Human;18_Human;19_Human	3	8	In vitro	EVs	0.0312225210602696
TOP1	12_Human	1	8	In vitro	EVs	0.0050761421319797
PC	14_Human	1	8	In vitro	EVs	0.00598802395209581
SCP2	14_Human	1	8	In vitro	EVs	0.00598802395209581
YWHAB	18_Human	1	8	In vitro	EVs	0.00286532951289398
HSPA4	18_Human	1	8	In vitro	EVs	0.00286532951289398
MYH9	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
LRPPRC	14_Human	1	8	In vitro	EVs	0.00598802395209581
STT3A	14_Human	1	8	In vitro	EVs	0.00598802395209581
NES	12_Human	1	8	In vitro	EVs	0.0050761421319797
ACADVL	12_Human;14_Human	2	8	In vitro	EVs	0.0110641660840755
HSD17B4	14_Human	1	8	In vitro	EVs	0.00598802395209581
LAMB2	12_Human;14_Human;18_Human	3	8	In vitro	EVs	0.0139294955969695
YWHAE	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
AP2B1	19_Human	1	8	In vitro	EVs	0.00613496932515337
BASP1	18_Human	1	8	In vitro	EVs	0.00286532951289398
NNT	14_Human	1	8	In vitro	EVs	0.00598802395209581
MVP	16_Human;18_Human	2	8	In vitro	EVs	0.0250875517351162
PLEC	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
TOR1AIP1	14_Human	1	8	In vitro	EVs	0.00598802395209581
VASN	13_Human;18_Human	2	8	In vitro	EVs	0.065365329512894
SURF4	12_Human	1	8	In vitro	EVs	0.0050761421319797
PDCD6IP	14_Human	1	8	In vitro	EVs	0.00598802395209581
TXNRD1	18_Human	1	8	In vitro	EVs	0.00286532951289398
TPM3	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
ILK	19_Human	1	8	In vitro	EVs	0.00613496932515337
TPM4	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
POSTN	15_Human;16_Human;18_Human	3	8	In vitro	EVs	0.0667542184017829
SEPTIN11	18_Human	1	8	In vitro	EVs	0.00286532951289398
COL12A1	14_Human;16_Human;19_Human	3	8	In vitro	EVs	0.0343452154994714
RPS6KA1	12_Human	1	8	In vitro	EVs	0.0050761421319797
RPS6KA2	12_Human	1	8	In vitro	EVs	0.0050761421319797
SDCBP	14_Human	1	8	In vitro	EVs	0.00598802395209581
ALDH1L1	19_Human	1	8	In vitro	EVs	0.00613496932515337
EFEMP2	17_Human;18_Human	2	8	In vitro	EVs	0.0192587721358448
COL4A1	13_Human;18_Human	2	8	In vitro	EVs	0.065365329512894
CRYAB	14_Human	1	8	In vitro	EVs	0.00598802395209581
HSPB1	18_Human	1	8	In vitro	EVs	0.00286532951289398
RPN1	14_Human	1	8	In vitro	EVs	0.00598802395209581
KRT18	12_Human;14_Human	2	8	In vitro	EVs	0.0110641660840755
ENO1	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
DCN	13_Human;18_Human;19_Human	3	8	In vitro	EVs	0.0715002988380474
PARP1	14_Human	1	8	In vitro	EVs	0.00598802395209581
HAPLN1	13_Human;18_Human	2	8	In vitro	EVs	0.065365329512894
COL11A1	14_Human;16_Human;18_Human	3	8	In vitro	EVs	0.031075575687212
IGFBP2	13_Human;19_Human	2	8	In vitro	EVs	0.0686349693251534
MSN	16_Human;18_Human	2	8	In vitro	EVs	0.0250875517351162
DPP4	12_Human	1	8	In vitro	EVs	0.0050761421319797
FASN	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C14	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C16	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C1	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C15	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C2	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C13	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C9	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C6	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C4	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C12	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C3	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C11	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C5	18_Human	1	8	In vitro	EVs	0.00286532951289398
H4C8	18_Human	1	8	In vitro	EVs	0.00286532951289398
FBLN2	14_Human	1	8	In vitro	EVs	0.00598802395209581
LGALS3BP	14_Human;19_Human	2	8	In vitro	EVs	0.0121229932772492
EFEMP1	13_Human;18_Human	2	8	In vitro	EVs	0.065365329512894
COTL1	18_Human	1	8	In vitro	EVs	0.00286532951289398
TGFBI	15_Human;17_Human;18_Human;19_Human	4	8	In vitro	EVs	0.0670604081276648
FSCN1	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
CYP1B1	14_Human	1	8	In vitro	EVs	0.00598802395209581
CSPG4	14_Human	1	8	In vitro	EVs	0.00598802395209581
CD109	18_Human	1	8	In vitro	EVs	0.00286532951289398
CEMIP	14_Human;15_Human;16_Human;18_Human	4	8	In vitro	EVs	0.0727422423538787
NCSTN	12_Human	1	8	In vitro	EVs	0.0050761421319797
PXDN	14_Human;17_Human;18_Human;19_Human	4	8	In vitro	EVs	0.031381765413094
HTRA1	15_Human;16_Human;18_Human	3	8	In vitro	EVs	0.0667542184017829
RCN3	14_Human;19_Human	2	8	In vitro	EVs	0.0121229932772492
SEMA3C	14_Human;16_Human	2	8	In vitro	EVs	0.028210246174318
UACA	12_Human	1	8	In vitro	EVs	0.0050761421319797
GNB4	18_Human	1	8	In vitro	EVs	0.00286532951289398
RRBP1	18_Human	1	8	In vitro	EVs	0.00286532951289398
NUDT1	12_Human	1	8	In vitro	EVs	0.0050761421319797
KRT1	18_Human	1	8	In vitro	EVs	0.00286532951289398
SBSN	18_Human	1	8	In vitro	EVs	0.00286532951289398
SERPING1	18_Human	1	8	In vitro	EVs	0.00286532951289398
DTX3L	12_Human	1	8	In vitro	EVs	0.0050761421319797
GDF15	14_Human	1	8	In vitro	EVs	0.00598802395209581
IKBKB	12_Human	1	8	In vitro	EVs	0.0050761421319797
POTEE	12_Human;18_Human	2	8	In vitro	EVs	0.00794147164487368
MANBA	18_Human	1	8	In vitro	EVs	0.00286532951289398
VIM	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
CALR	18_Human	1	8	In vitro	EVs	0.00286532951289398
HSPA6	18_Human	1	8	In vitro	EVs	0.00286532951289398
PDIA3	18_Human	1	8	In vitro	EVs	0.00286532951289398
HSPA5	18_Human	1	8	In vitro	EVs	0.00286532951289398
PRSS1	18_Human	1	8	In vitro	EVs	0.00286532951289398
ACTG1	18_Human	1	8	In vitro	EVs	0.00286532951289398
ACTBL2	18_Human	1	8	In vitro	EVs	0.00286532951289398
HSPD1	18_Human	1	8	In vitro	EVs	0.00286532951289398
P4HB	18_Human	1	8	In vitro	EVs	0.00286532951289398
TUBA1C	15_Human;16_Human;18_Human	3	8	In vitro	EVs	0.0667542184017829
OXCT1	14_Human	1	8	In vitro	EVs	0.00598802395209581
GOT2	18_Human	1	8	In vitro	EVs	0.00286532951289398
A2M	18_Human	1	8	In vitro	EVs	0.00286532951289398
ACTA1	18_Human	1	8	In vitro	EVs	0.00286532951289398
TLN1	19_Human	1	8	In vitro	EVs	0.00613496932515337
PDIA4	18_Human	1	8	In vitro	EVs	0.00286532951289398
ALDOA	18_Human	1	8	In vitro	EVs	0.00286532951289398
CS	12_Human	1	8	In vitro	EVs	0.0050761421319797
FH	18_Human	1	8	In vitro	EVs	0.00286532951289398
LDHB	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
LDHC	16_Human	1	8	In vitro	EVs	0.0222222222222222
EEF1A1P5	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
VCP	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
NUCB1	18_Human	1	8	In vitro	EVs	0.00286532951289398
ATIC	19_Human	1	8	In vitro	EVs	0.00613496932515337
PFN1	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
ALB	18_Human	1	8	In vitro	EVs	0.00286532951289398
RPS28	12_Human	1	8	In vitro	EVs	0.0050761421319797
RPS21	12_Human	1	8	In vitro	EVs	0.0050761421319797
PDIA6	18_Human	1	8	In vitro	EVs	0.00286532951289398
TUBB	18_Human	1	8	In vitro	EVs	0.00286532951289398
PRKCSH	14_Human	1	8	In vitro	EVs	0.00598802395209581
TUBB4B	18_Human	1	8	In vitro	EVs	0.00286532951289398
SFN	18_Human	1	8	In vitro	EVs	0.00286532951289398
YWHAZ	15_Human;18_Human	2	8	In vitro	EVs	0.0445319961795606
LDHA	16_Human;18_Human	2	8	In vitro	EVs	0.0250875517351162
YWHAQ	18_Human	1	8	In vitro	EVs	0.00286532951289398
TTN	18_Human	1	8	In vitro	EVs	0.00286532951289398
CDH11	12_Human;18_Human	2	8	In vitro	EVs	0.00794147164487368
KRT5	18_Human	1	8	In vitro	EVs	0.00286532951289398
SHMT2	12_Human	1	8	In vitro	EVs	0.0050761421319797
LRRC17	12_Human	1	8	In vitro	EVs	0.0050761421319797
HPX	18_Human	1	8	In vitro	EVs	0.00286532951289398
CPXM2	14_Human	1	8	In vitro	EVs	0.00598802395209581
CXCL5	19_Human	1	8	In vitro	EVs	0.00613496932515337
CSRP1	18_Human	1	8	In vitro	EVs	0.00286532951289398
GLUD2	18_Human	1	8	In vitro	EVs	0.00286532951289398
SRGN	18_Human	1	8	In vitro	EVs	0.00286532951289398
IDH2	14_Human	1	8	In vitro	EVs	0.00598802395209581
ROBO1	12_Human	1	8	In vitro	EVs	0.0050761421319797
SH3BGRL3	18_Human	1	8	In vitro	EVs	0.00286532951289398
LONP1	14_Human	1	8	In vitro	EVs	0.00598802395209581
STOML2	14_Human	1	8	In vitro	EVs	0.00598802395209581
MMP3	17_Human;18_Human	2	8	In vitro	EVs	0.0192587721358448
ADAMTSL1	14_Human	1	8	In vitro	EVs	0.00598802395209581
MFAP2	19_Human	1	8	In vitro	EVs	0.00613496932515337
TIMP2	18_Human	1	8	In vitro	EVs	0.00286532951289398
EMILIN2	14_Human	1	8	In vitro	EVs	0.00598802395209581
IFIT5	12_Human	1	8	In vitro	EVs	0.0050761421319797
ADAM10	14_Human	1	8	In vitro	EVs	0.00598802395209581
WNT5A	12_Human;19_Human	2	8	In vitro	EVs	0.0112111114571331
PACSIN3	14_Human	1	8	In vitro	EVs	0.00598802395209581
SDHA	14_Human	1	8	In vitro	EVs	0.00598802395209581
CDCP1	12_Human	1	8	In vitro	EVs	0.0050761421319797
COL7A1	17_Human;18_Human;19_Human	3	8	In vitro	EVs	0.0253937414609982
CXCL1	17_Human;19_Human	2	8	In vitro	EVs	0.0225284119481042
RELN	19_Human	1	8	In vitro	EVs	0.00613496932515337
SLC25A3	14_Human	1	8	In vitro	EVs	0.00598802395209581
MMP1	17_Human;18_Human	2	8	In vitro	EVs	0.0192587721358448
CXCL6	17_Human;19_Human	2	8	In vitro	EVs	0.0225284119481042
CLEC11A	17_Human;18_Human	2	8	In vitro	EVs	0.0192587721358448
RAB6B	12_Human	1	8	In vitro	EVs	0.0050761421319797
